8.735,0
8.74,0.01
8.744,-0.01
8.757,-0
8.759,-0.01
8.76,-0
8.765,-0.01
8.78,0
8.783,-0.01
8.785,-0.02
8.786,0
8.788,0
8.793,-0
8.799,0.01
8.803,0.02
8.808,0.01
8.813,-0.01
8.819,0
8.823,-0
8.828,0.01
8.834,0.01
8.839,-0.02
8.843,-0.01
8.848,-0.01
8.857,0.02
8.859,0.01
8.861,-0
8.881,0
8.882,0
8.883,-0.01
8.884,-0.01
8.887,0.01
8.891,0.01
8.896,-0.01
8.905,0.01
8.907,-0
8.91,0.01
8.915,0
8.92,0.01
8.924,0
8.929,-0
8.936,-0.01
8.939,-0.03
8.944,-0
8.962,-0.01
8.966,-0.02
8.968,0
8.971,-0.01
8.974,-0
8.975,-0
8.988,0.01
8.99,0.01
8.991,0.01
8.994,-0.01
8.997,-0.01
9.002,0
9.007,0.02
9.011,-0.01
9.017,-0.01
9.021,-0.01
9.026,0
9.031,0.02
9.037,-0
9.041,-0
9.046,0.01
9.059,-0
9.062,-0.01
9.063,0.01
9.067,0
9.074,-0.01
9.076,0
9.08,-0.01
9.086,-0
9.091,-0.01
9.094,-0
9.1,0.01
9.104,0
9.109,0.02
9.113,0.01
9.119,0.02
9.124,0.02
9.128,0
9.135,0.01
9.141,0.01
9.143,0.02
9.16,0.02
9.162,0.01
9.164,0
9.165,-0
9.178,0
9.18,-0
9.181,0.01
9.185,0.02
9.188,0
9.191,-0.01
9.196,-0
9.201,0
9.207,0.01
9.212,0
9.221,-0
9.224,-0.01
9.227,-0
9.235,0.01
9.238,0.01
9.241,0.01
9.246,-0
9.257,0
9.259,0.01
9.277,-0.01
9.279,0
9.28,0.01
9.28,-0.01
9.281,-0
9.286,0
9.289,-0
9.293,-0
9.298,-0.01
9.303,0
9.308,-0
9.314,0
9.319,-0.01
9.324,-0
9.328,-0.01
9.335,-0
9.339,0
9.344,0.01
9.347,-0.01
9.354,-0
9.359,-0.01
9.364,-0.02
9.386,-0.02
9.39,-0.01
9.392,-0.01
9.393,-0.01
9.395,-0.01
9.397,-0.02
9.4,0
9.402,-0.01
9.406,-0.01
9.41,0
9.415,-0.01
9.42,0
9.424,-0.01
9.429,-0.01
9.434,-0.01
9.439,0.02
9.444,-0
9.451,-0.01
9.454,-0
9.458,-0
9.464,0.01
9.476,-0.01
9.48,0
9.483,-0.01
9.487,-0
9.489,-0.02
9.492,-0.01
9.498,-0
9.503,-0.01
9.509,-0
9.512,-0
9.52,0
9.522,0.01
9.527,-0
9.534,0
9.537,-0
9.541,0.01
9.546,-0.01
9.553,-0.01
9.558,0.01
9.561,0.01
9.578,-0
9.581,0.01
9.583,0
9.586,-0.01
9.588,-0.01
9.59,0
9.594,0.02
9.6,0.02
9.607,0.01
9.61,0.03
9.613,0.03
9.62,0.02
9.625,0.03
9.628,0.03
9.634,0.03
9.637,0.02
9.642,0.01
9.647,0.02
9.654,0.01
9.658,-0.01
9.663,-0.02
9.669,-0.03
9.675,-0.01
9.676,-0.02
9.681,-0.02
9.686,-0.03
9.691,0
9.696,0.02
9.702,0.02
9.706,0.02
9.711,0.02
9.717,0
9.722,-0.02
9.727,-0.03
9.731,-0.03
9.739,-0.03
9.742,-0.04
9.747,-0.05
9.753,-0.05
9.757,-0.04
9.761,-0.03
9.767,-0.01
9.784,-0
9.788,-0
9.79,0.03
9.791,0.03
9.793,0.04
9.795,0.04
9.799,0.04
9.812,0.02
9.814,0.02
9.815,0.04
9.818,0.02
9.824,0.02
9.83,0.01
9.834,0.02
9.837,0.04
9.842,0.05
9.847,0.06
9.854,0.05
9.858,0.06
9.863,0.07
9.878,0.07
9.88,0.07
9.881,0.06
9.896,0.05
9.897,0.06
9.899,0.05
9.9,0.05
9.902,0.04
9.905,0.06
9.91,0.05
9.915,0.04
9.919,0.05
9.927,0.06
9.929,0.07
9.937,0.09
9.94,0.07
9.945,0.08
9.95,0.09
9.954,0.11
9.959,0.1
9.964,0.08
9.982,0.08
9.985,0.06
9.99,0.04
9.991,0.04
9.992,0.05
9.993,0.03
9.997,0.04
10.013,0.07
10.015,0.09
10.017,0.13
10.018,0.13
10.023,0.19
10.026,0.21
10.031,0.21
10.035,0.18
10.041,0.17
10.046,0.15
10.056,0.13
10.058,0.07
10.07,0.05
10.072,0.05
10.074,0.03
10.076,-0.01
10.081,0.02
10.085,0.06
10.089,0.05
10.094,0.04
10.1,0.07
10.106,0.1
10.112,0.06
10.114,-0.01
10.122,-0.01
10.125,0.02
10.133,0.03
10.135,-0.04
10.14,-0.05
10.143,0.03
10.147,0.05
10.152,0.01
10.157,-0.05
10.162,-0.01
10.174,0.02
10.175,-0.01
10.179,-0.08
10.182,-0.1
10.188,-0.04
10.192,-0.04
10.196,-0.06
10.202,-0.05
10.206,-0.03
10.21,-0.06
10.217,-0.11
10.22,-0.08
10.225,-0.03
10.23,-0.09
10.237,-0.12
10.241,-0.07
10.247,-0.03
10.266,-0.15
10.27,-0.21
10.273,-0.07
10.277,0
10.28,-0.15
10.282,-0.16
10.284,0.06
10.286,0.12
10.293,-0.16
10.295,-0.27
10.298,0.07
10.303,0.2
10.308,-0.15
10.313,-0.31
10.318,0.04
10.323,0.17
10.327,-0.21
10.333,-0.23
10.339,0.13
10.343,0.17
10.348,-0.14
10.365,-0.25
10.375,0.1
10.377,0.13
10.378,-0.2
10.379,-0.27
10.38,-0.1
10.381,0.03
10.387,-0.11
10.391,-0.36
10.396,-0.27
10.401,-0.17
10.405,-0.26
10.41,-0.27
10.415,-0.19
10.42,-0.25
10.425,-0.24
10.43,-0.13
10.438,-0.03
10.442,-0.19
10.446,-0.28
10.453,-0.09
10.456,-0.08
10.459,-0.21
10.464,-0.12
10.479,-0.03
10.481,0
10.482,0.15
10.504,0.38
10.506,0.33
10.508,0.15
10.509,0.31
10.51,0.66
10.511,0.74
10.512,0.51
10.52,0.59
10.524,0.81
10.527,0.75
10.531,0.6
10.539,0.58
10.541,0.67
10.547,0.62
10.552,0.39
10.561,0.35
10.563,0.42
10.567,0.24
10.577,-0.17
10.579,-0.43
10.605,-0.31
10.607,-0.26
10.608,-0.53
10.615,-0.73
10.616,-0.57
10.618,-0.58
10.62,-0.7
10.621,-0.8
10.622,-0.86
10.623,-0.74
10.628,-0.54
10.635,-0.55
10.638,-0.79
10.644,-0.82
10.648,-0.54
10.656,-0.52
10.66,-0.59
10.663,-0.43
10.678,-0.16
10.679,-0.26
10.68,-0.42
10.682,-0.21
10.704,0.05
10.706,-0.06
10.707,-0.18
10.707,-0.01
10.708,0.04
10.711,-0.15
10.717,-0.27
10.722,-0.13
10.726,-0.08
10.731,-0.23
10.736,-0.24
10.741,-0.07
10.746,-0.06
10.753,-0.17
10.756,-0.16
10.761,-0.06
10.766,-0.08
10.771,-0.15
10.778,-0.14
10.781,-0.11
10.8,-0.13
10.803,-0.19
10.805,-0.15
10.807,-0.12
10.809,-0.09
10.814,-0.1
10.815,-0.07
10.834,0
10.838,0.01
10.84,-0.02
10.841,0.01
10.843,0.05
10.844,0.03
10.847,0
10.854,0
10.86,0.02
10.862,0.01
10.867,-0.02
10.878,-0.04
10.88,-0
10.882,-0.01
10.892,-0.02
10.894,0.03
10.898,0.03
10.901,0.02
10.909,0.03
10.911,0.04
10.915,0.05
