0,9.8709
0.015,9.8154
0.025,9.8025
0.035,9.7286
0.044,9.7441
0.054,9.7679
0.064,9.8679
0.074,9.8986
0.084,10.011
0.094,10.012
0.104,10.037
0.114,9.9968
0.124,9.9877
0.134,9.9537
0.144,9.9606
0.154,9.9619
0.164,9.9443
0.174,9.9504
0.184,9.8672
0.194,9.8257
0.204,9.8226
0.214,9.7594
0.224,9.7591
0.234,9.7955
0.244,9.8078
0.254,9.8589
0.264,9.8935
0.274,9.8754
0.284,9.891
0.294,9.9232
0.304,9.8974
0.314,9.9745
0.324,9.9675
0.334,10.006
0.344,10.001
0.354,9.9735
0.364,9.9292
0.374,9.897
0.384,9.8742
0.393,9.8537
0.403,9.8337
0.413,9.8329
0.423,9.8345
0.433,9.844
0.443,9.8104
0.453,9.8039
0.463,9.8043
0.473,9.822
0.483,9.8615
0.493,9.9107
0.503,9.9262
0.513,9.9628
0.523,9.9542
0.533,9.9308
0.543,9.9477
0.553,9.9166
0.563,9.9476
0.573,9.9206
0.583,9.9248
0.593,9.9146
0.603,9.8899
0.613,9.851
0.623,9.8384
0.633,9.8256
0.643,9.8229
0.653,9.8133
0.663,9.869
0.673,9.8572
0.683,9.8621
0.693,9.8793
0.703,9.8777
0.713,9.8827
0.723,9.8979
0.733,9.917
0.743,9.9344
0.752,9.9533
0.762,9.9533
0.772,9.9528
0.782,9.9113
0.792,9.8842
0.802,9.881
0.812,9.8564
0.822,9.8654
0.832,9.839
0.842,9.8557
0.852,9.8434
0.862,9.81
0.872,9.8414
0.882,9.8277
0.892,9.8646
0.902,9.8654
0.912,9.8949
0.922,9.9148
0.932,9.913
0.942,9.9043
0.952,9.9019
0.962,9.9211
0.972,9.9187
0.982,9.933
0.992,9.9182
1.002,9.9151
1.012,9.8811
1.022,9.8586
1.032,9.8604
1.042,9.8362
1.052,9.8527
1.062,9.8619
1.072,9.8476
1.082,9.8645
1.092,9.8548
1.102,9.8765
1.111,9.8649
1.121,9.8866
1.131,9.8941
1.141,9.9184
1.151,9.9021
